RevenueID,DepartmentID,RevenueDate,RevenueCategory,Amount
123,1,2023-05-07,Commission,1624.51
124,5,2023-08-05,Consulting,285.25
125,2,2023-04-06,Subscription,2796.08
126,1,2024-12-04,Subscription,3490.15
127,5,2024-10-11,Product Sales,889.42
128,3,2024-12-24,Other,4275.75
129,5,2024-07-19,Product Sales,3265.71
130,4,2024-04-11,Subscription,2199.52
131,4,2023-03-16,Commission,1089.03
132,2,2023-02-24,Product Sales,1981.43
133,2,2024-03-31,Consulting,3694.38
134,3,2024-11-16,Subscription,3692.93
135,5,2024-12-11,Commission,4571.27
136,4,2023-12-18,Commission,4427.37
137,5,2023-02-17,Product Sales,428.27
138,4,2024-02-25,Product Sales,3317.61
139,1,2024-07-03,Other,2055.72
140,5,2024-09-11,Other,3234.89
141,3,2024-03-15,Product Sales,2034.3
142,3,2024-09-04,Product Sales,1034.0
143,2,2024-04-17,Subscription,536.71
144,5,2023-03-03,Subscription,122.82
145,1,2023-11-06,Other,3005.43
146,2,2024-05-21,Commission,3230.23
147,1,2024-10-28,Subscription,230.49
148,2,2023-05-15,Consulting,1139.49
149,5,2024-05-18,Commission,2499.9
150,1,2024-06-02,Product Sales,3074.41
151,1,2023-06-25,Product Sales,2864.59
152,4,2023-03-15,Other,368.83
153,5,2023-05-01,Commission,4163.57
154,4,2024-02-25,Commission,4861.86
155,1,2024-10-05,Subscription,3632.35
156,4,2023-03-13,Subscription,341.89
157,1,2023-06-01,Commission,4886.09
158,4,2023-03-10,Product Sales,4670.19
159,1,2023-04-01,Other,4676.38
160,2,2023-09-22,Commission,233.49
161,1,2023-02-07,Subscription,4792.19
162,1,2023-03-24,Commission,2410.08
163,4,2023-12-21,Product Sales,292.26
164,3,2023-11-23,Product Sales,652.76
165,4,2023-04-03,Other,4234.94
166,5,2023-04-14,Other,3141.12
167,5,2023-10-06,Commission,762.88
168,1,2023-02-10,Consulting,3193.8
169,2,2024-12-01,Product Sales,2544.29
170,5,2023-06-05,Consulting,3254.08
171,3,2024-07-07,Consulting,4427.11
172,3,2023-09-06,Commission,1987.07
173,2,2023-06-14,Other,1332.73
174,5,2023-01-13,Consulting,4326.64
175,3,2023-08-18,Consulting,2751.76
176,2,2024-10-31,Product Sales,4213.62
177,4,2024-12-13,Product Sales,2353.95
178,5,2024-04-18,Consulting,4626.46
179,3,2024-09-06,Commission,1677.6
180,3,2024-01-18,Other,2515.08
181,5,2024-01-08,Commission,3591.51
182,5,2024-03-12,Other,259.58
183,2,2023-09-19,Consulting,3775.93
184,3,2024-04-02,Product Sales,3785.45
185,1,2023-06-23,Subscription,3924.19
186,5,2023-06-12,Product Sales,3778.43
187,5,2023-09-27,Subscription,1888.73
188,4,2024-04-01,Subscription,1524.82
189,1,2024-02-17,Commission,1974.84
190,2,2024-11-26,Other,1346.67
191,3,2024-12-16,Consulting,1239.3
192,3,2024-06-21,Subscription,394.27
193,2,2023-04-16,Commission,4112.41
194,1,2023-05-12,Commission,2123.2
195,1,2023-07-12,Commission,1522.58
196,1,2024-06-15,Subscription,1860.83
197,1,2024-10-12,Other,2625.25
198,1,2023-04-22,Other,135.0
199,3,2024-04-05,Commission,677.39
200,4,2024-06-13,Consulting,383.05
201,5,2024-04-05,Subscription,2682.24
202,3,2023-07-13,Consulting,3915.61
203,4,2024-03-18,Product Sales,586.42
204,4,2023-02-03,Consulting,321.19
205,4,2023-10-23,Consulting,2057.98
206,2,2023-12-12,Subscription,2212.4
207,2,2024-08-02,Consulting,1131.23
208,5,2023-08-18,Commission,195.32
209,1,2023-07-09,Subscription,1653.55
210,1,2024-06-19,Consulting,2159.72
211,2,2024-08-10,Other,4946.0
212,4,2023-05-22,Consulting,3773.05
213,4,2024-08-03,Product Sales,3871.2
214,4,2023-10-12,Subscription,1880.8
215,2,2024-01-03,Product Sales,377.25
216,2,2023-04-30,Subscription,2495.01
217,4,2024-09-15,Consulting,4567.42
218,1,2024-12-04,Subscription,2929.7
219,5,2024-06-01,Commission,2409.81
220,1,2024-03-17,Other,3271.02
221,2,2023-12-31,Other,3018.94
222,5,2023-02-16,Commission,458.17
223,1,2024-05-06,Other,4906.62
224,1,2023-08-10,Subscription,3373.44
225,2,2024-06-02,Other,2306.17
226,3,2023-03-06,Subscription,1247.22
227,5,2024-12-16,Product Sales,2845.8
228,5,2023-10-15,Commission,4268.66
229,1,2023-05-23,Consulting,639.76
230,3,2023-02-15,Product Sales,3752.56
231,1,2024-04-21,Other,1130.69
232,4,2024-04-01,Product Sales,2756.27
233,3,2024-12-02,Product Sales,981.87
234,3,2023-11-13,Commission,1339.77
235,4,2023-12-12,Commission,2485.38
236,5,2024-02-10,Commission,3245.82
237,3,2023-09-20,Other,512.74
238,3,2023-01-03,Commission,3816.56
239,3,2023-11-05,Consulting,2778.82
240,5,2024-02-12,Product Sales,595.91
241,1,2024-08-30,Other,3926.49
242,5,2024-10-17,Product Sales,3883.34
243,5,2024-08-14,Subscription,1642.34
244,1,2024-07-23,Commission,2180.23
245,5,2024-10-12,Product Sales,2832.27
246,2,2023-08-18,Commission,1603.84
247,3,2023-08-08,Commission,3598.74
248,5,2024-10-13,Other,2263.88
249,5,2024-12-16,Commission,1484.53
250,4,2023-11-13,Commission,3819.93
251,2,2023-10-24,Consulting,1038.4
252,2,2023-04-15,Commission,1333.1
253,5,2023-03-15,Commission,1509.26
254,3,2024-05-25,Subscription,4370.2
255,3,2023-11-09,Other,632.38
256,1,2024-09-16,Product Sales,4533.68
257,5,2023-10-19,Consulting,1760.12
258,3,2023-05-29,Commission,950.47
259,3,2023-05-04,Subscription,2147.94
260,1,2024-11-15,Subscription,581.64
261,3,2024-10-19,Product Sales,1261.84
262,4,2023-10-22,Commission,3591.17
263,1,2024-03-25,Consulting,1769.61
264,2,2024-04-21,Subscription,2000.45
265,3,2023-12-16,Other,1419.74
266,2,2024-06-04,Product Sales,829.31
267,4,2023-12-04,Subscription,4632.34
268,1,2024-10-20,Commission,448.73
269,3,2024-02-28,Product Sales,2196.89
270,4,2023-11-06,Other,1796.28
271,1,2023-07-05,Commission,4130.69
272,5,2023-11-23,Subscription,276.94
273,5,2023-10-23,Commission,229.81
274,2,2024-09-28,Consulting,102.68
275,4,2024-11-19,Other,4994.81
276,3,2024-10-30,Commission,1015.98
277,4,2023-04-12,Consulting,3445.09
278,2,2024-12-08,Consulting,3603.98
279,3,2024-09-24,Commission,796.89
280,5,2023-04-25,Consulting,4740.94
281,5,2024-03-09,Subscription,3443.04
282,4,2023-03-02,Product Sales,1444.45
283,4,2024-02-02,Product Sales,982.24
284,3,2023-11-29,Other,368.42
285,1,2024-05-23,Product Sales,3769.58
286,3,2023-10-09,Subscription,2384.84
287,5,2024-11-24,Subscription,297.96
288,2,2024-01-13,Consulting,4502.44
289,1,2024-05-26,Commission,2937.16
290,5,2024-03-25,Subscription,2481.43
291,3,2023-03-21,Subscription,4017.37
292,5,2024-12-24,Product Sales,3364.47
293,4,2023-03-07,Product Sales,1214.34
294,4,2023-04-23,Product Sales,3709.98
295,5,2023-09-22,Consulting,1514.02
296,2,2023-01-14,Other,1440.8
297,1,2024-04-15,Product Sales,2081.73
298,3,2023-12-01,Other,3328.87
299,5,2023-06-07,Subscription,4588.51
300,3,2024-05-02,Commission,4565.24
301,2,2024-04-22,Subscription,1307.32
302,2,2024-05-09,Subscription,1921.99
303,1,2023-05-28,Other,1356.01
304,4,2024-07-12,Product Sales,2023.05
305,3,2024-02-24,Other,1231.21
306,4,2023-11-28,Consulting,1533.99
307,2,2024-06-06,Subscription,2537.39
308,1,2024-04-23,Subscription,2183.48
309,1,2024-12-16,Product Sales,2854.41
310,5,2024-12-05,Commission,3815.79
311,1,2023-03-14,Product Sales,684.24
312,2,2023-01-05,Product Sales,3609.28
313,3,2023-10-19,Product Sales,486.35
314,1,2024-05-01,Subscription,776.84
315,5,2023-08-11,Product Sales,3353.87
316,4,2023-12-14,Commission,3386.23
317,5,2024-09-02,Product Sales,370.89
318,3,2023-09-28,Commission,366.55
319,4,2023-12-26,Other,1110.92
320,4,2023-10-12,Other,1697.51
321,1,2023-08-19,Commission,3660.83
322,2,2023-08-29,Product Sales,2616.22
323,1,2024-05-02,Commission,1733.73
324,4,2023-03-27,Consulting,4396.5
325,3,2023-08-11,Product Sales,692.73
326,2,2023-11-23,Commission,747.38
327,3,2024-09-15,Consulting,627.36
328,1,2023-01-12,Consulting,967.35
329,5,2023-08-12,Other,317.62
330,4,2024-04-08,Commission,3072.22
331,1,2023-04-10,Other,3900.4
332,5,2024-01-05,Consulting,336.71
333,1,2023-07-20,Other,1892.22
334,2,2023-07-04,Product Sales,494.05
335,2,2024-04-19,Subscription,2506.62
336,3,2023-01-06,Subscription,3826.71
337,1,2024-06-07,Product Sales,462.21
338,1,2024-09-26,Product Sales,4216.72
339,2,2024-12-08,Other,2602.89
340,3,2023-05-13,Consulting,289.86
341,4,2023-06-09,Consulting,3904.76
342,4,2024-04-23,Product Sales,4615.63
343,4,2024-01-27,Consulting,4776.11
344,5,2023-07-10,Commission,4235.97
345,2,2024-09-22,Product Sales,498.42
346,1,2024-11-14,Subscription,3878.35
347,2,2024-07-17,Product Sales,752.75
348,3,2024-01-02,Product Sales,3931.23
349,2,2024-05-20,Product Sales,3722.88
350,4,2024-11-12,Product Sales,2127.43
351,5,2024-09-03,Product Sales,4271.99
352,2,2023-09-28,Product Sales,1940.16
353,2,2024-07-20,Consulting,2608.52
354,3,2023-07-30,Product Sales,530.47
355,2,2023-01-02,Product Sales,3748.3
356,5,2023-06-01,Subscription,1139.59
357,1,2023-10-30,Product Sales,2861.14
358,3,2024-09-30,Product Sales,2943.28
359,4,2023-03-08,Other,3216.88
360,2,2023-08-28,Subscription,2159.61
361,5,2023-01-31,Subscription,2312.29
362,3,2023-07-13,Consulting,732.29
363,1,2023-03-14,Subscription,2038.37
364,3,2024-07-30,Consulting,3064.75
365,1,2023-03-11,Other,4123.42
366,3,2024-12-21,Subscription,2399.45
367,5,2023-09-06,Subscription,4507.28
368,5,2024-11-04,Commission,3322.39
369,3,2023-08-15,Other,1741.9
370,1,2024-07-02,Other,505.01
371,1,2024-01-07,Subscription,4326.3
372,5,2023-01-25,Subscription,4656.84
373,1,2023-12-24,Commission,1134.34
374,1,2023-02-25,Product Sales,3525.74
375,1,2023-11-06,Other,1022.84
376,1,2023-08-20,Commission,3014.94
377,5,2024-04-26,Product Sales,4728.7
378,4,2023-12-20,Other,559.06
379,4,2024-01-17,Commission,4355.76
380,4,2024-01-05,Consulting,2507.9
381,3,2023-06-10,Commission,1682.51
382,5,2023-09-17,Other,1891.6
383,4,2024-12-28,Product Sales,2173.29
384,1,2024-07-19,Product Sales,2482.49
385,1,2023-12-05,Subscription,372.1
386,4,2023-11-04,Other,2051.08
387,1,2023-04-01,Consulting,862.95
388,3,2023-01-19,Product Sales,4375.34
389,4,2023-10-22,Subscription,1330.63
390,2,2023-08-13,Subscription,2513.67
391,2,2023-08-30,Consulting,213.49
392,2,2024-09-23,Product Sales,1475.11
393,5,2023-08-26,Other,244.75
394,3,2024-03-30,Commission,2204.9
395,4,2024-05-19,Subscription,3499.8
396,5,2023-10-07,Product Sales,2158.14
397,2,2024-09-12,Consulting,2315.63
398,2,2023-07-16,Consulting,2265.93
399,4,2023-05-22,Product Sales,2121.87
400,2,2023-03-12,Product Sales,2712.55
401,1,2023-11-29,Subscription,4542.05
402,5,2023-08-12,Product Sales,2344.84
403,3,2023-12-01,Product Sales,4762.88
404,5,2023-05-10,Consulting,315.17
405,3,2023-11-08,Other,2215.91
406,1,2024-06-23,Subscription,3010.92
407,1,2023-03-23,Product Sales,2273.99
408,4,2023-11-13,Product Sales,720.66
409,4,2023-07-13,Commission,762.98
410,1,2023-07-28,Other,2702.82
411,3,2024-08-14,Commission,4099.75
412,3,2024-08-30,Consulting,1274.95
413,1,2023-07-19,Product Sales,964.35
414,4,2023-08-13,Product Sales,1426.47
415,4,2023-01-24,Subscription,307.41
416,4,2024-05-06,Other,4986.14
417,1,2024-05-12,Other,4114.99
418,1,2023-05-16,Commission,4463.85
419,4,2023-01-22,Consulting,3019.17
420,2,2023-10-26,Consulting,291.68
421,4,2023-02-01,Subscription,2831.04
422,1,2023-10-29,Product Sales,3599.81
423,5,2023-03-16,Subscription,3276.91
424,5,2023-12-03,Product Sales,2709.7
425,1,2023-08-15,Subscription,892.96
426,2,2023-09-27,Other,3952.93
427,1,2024-12-20,Other,4738.41
428,5,2024-01-08,Product Sales,2657.62
429,2,2023-05-22,Consulting,3972.78
430,1,2023-11-18,Commission,1753.04
431,4,2023-11-09,Other,2550.78
432,3,2023-01-18,Commission,1668.43
433,5,2023-02-12,Consulting,4091.7
434,1,2024-06-01,Product Sales,4269.62
435,4,2023-08-06,Commission,1920.63
436,2,2023-08-09,Other,623.29
437,2,2023-08-13,Other,1665.57
438,2,2024-05-11,Subscription,377.48
439,4,2023-07-23,Consulting,739.3
440,5,2024-07-17,Other,3918.75
441,1,2024-03-09,Consulting,2574.2
442,5,2023-04-22,Subscription,3465.34
443,1,2023-06-21,Product Sales,4542.23
444,2,2024-10-22,Commission,2960.47
445,2,2024-09-20,Other,3898.6
446,1,2024-09-02,Commission,1673.93
447,1,2024-11-09,Subscription,2805.01
448,4,2024-01-02,Commission,2368.16
449,4,2024-11-19,Product Sales,4338.69
450,3,2023-10-28,Consulting,448.68
451,2,2023-05-31,Consulting,4876.77
452,3,2024-06-28,Commission,872.32
453,3,2023-06-29,Other,371.08
454,2,2024-08-30,Commission,4191.76
455,2,2023-01-20,Subscription,2472.68
456,5,2024-07-06,Product Sales,2333.61
457,3,2024-11-12,Commission,2150.84
458,2,2024-04-27,Commission,2557.77
459,2,2024-08-31,Other,414.95
460,1,2023-10-22,Subscription,3244.93
461,2,2024-04-03,Subscription,3293.66
462,3,2023-02-14,Product Sales,3640.08
463,3,2023-07-04,Subscription,2982.02
464,1,2024-04-11,Consulting,3300.73
465,3,2024-01-30,Commission,4988.13
466,5,2023-09-10,Consulting,2841.79
467,3,2024-07-04,Product Sales,122.38
468,5,2024-08-23,Product Sales,3533.89
469,5,2023-12-13,Product Sales,229.52
470,3,2024-10-23,Subscription,931.35
471,3,2024-01-09,Commission,852.69
472,5,2024-08-16,Consulting,305.19
473,2,2023-02-16,Product Sales,1189.83
474,3,2024-03-28,Consulting,272.78
475,4,2023-07-16,Subscription,1830.75
476,5,2024-10-24,Subscription,911.95
477,4,2024-03-13,Subscription,3090.52
478,1,2023-07-24,Product Sales,3086.3
479,5,2024-08-06,Subscription,3629.45
480,2,2024-09-03,Commission,4490.24
481,4,2023-04-15,Other,2376.22
482,5,2023-12-29,Consulting,4835.03
483,5,2023-09-11,Subscription,4408.15
484,3,2023-01-08,Subscription,915.41
485,2,2023-09-20,Consulting,923.51
486,3,2024-05-16,Consulting,106.96
487,4,2023-07-23,Product Sales,3637.29
488,3,2024-11-03,Subscription,1725.21
489,1,2023-10-31,Product Sales,2398.72
490,2,2024-08-30,Other,3236.81
491,1,2024-02-26,Commission,542.96
492,1,2024-05-28,Subscription,3956.44
493,1,2024-06-30,Other,1353.6
494,1,2024-03-28,Consulting,3153.56
495,3,2023-11-03,Commission,187.18
496,5,2023-04-17,Other,1982.35
497,1,2023-02-20,Consulting,4899.31
498,1,2024-07-06,Product Sales,2836.89
499,2,2023-02-04,Commission,3378.85
500,5,2024-08-24,Subscription,4286.16
501,5,2024-12-06,Product Sales,4013.39
502,4,2023-05-27,Commission,4910.76
503,3,2024-08-25,Product Sales,1487.52
504,4,2023-07-24,Consulting,4230.93
505,2,2024-09-05,Consulting,2404.79
506,1,2024-06-15,Product Sales,2093.48
507,4,2023-11-17,Commission,2929.56
508,4,2024-04-05,Subscription,1336.65
509,3,2023-08-27,Subscription,2788.62
510,2,2024-08-07,Subscription,1293.36
511,5,2023-12-17,Commission,1875.59
512,4,2024-08-02,Product Sales,4294.22
513,4,2024-08-12,Consulting,4790.32
514,1,2023-10-27,Other,4173.31
515,1,2024-03-30,Other,2995.79
516,2,2023-01-02,Consulting,550.36
517,1,2023-02-25,Commission,809.35
518,3,2023-10-23,Product Sales,3813.06
519,5,2024-03-26,Product Sales,4244.44
520,1,2023-06-12,Consulting,2862.73
521,5,2024-04-24,Commission,3298.87
522,2,2024-04-24,Subscription,3450.1
523,1,2023-08-11,Other,2922.56
524,3,2024-05-24,Subscription,2831.27
525,4,2023-01-10,Commission,3514.59
526,5,2023-02-06,Other,1460.69
527,5,2024-12-18,Commission,1955.77
528,5,2024-05-20,Commission,487.91
529,2,2024-05-13,Other,633.41
530,1,2024-04-01,Other,4996.77
531,4,2024-01-24,Commission,4043.94
532,1,2023-03-05,Subscription,3362.02
533,3,2023-07-09,Consulting,2194.42
534,5,2023-11-20,Consulting,1220.14
535,1,2023-02-09,Subscription,1076.31
536,4,2023-03-14,Other,3233.87
537,1,2023-09-21,Consulting,2140.91
538,3,2023-05-11,Consulting,2912.09
539,3,2023-12-24,Commission,260.8
540,4,2024-09-02,Consulting,4095.66
541,1,2024-11-09,Subscription,3866.18
542,3,2024-05-12,Subscription,4597.81
543,1,2023-04-14,Product Sales,307.81
544,4,2023-08-09,Other,1035.04
545,5,2023-09-24,Other,4365.2
546,5,2024-06-15,Other,1555.48
547,3,2024-10-14,Subscription,2939.05
548,5,2023-06-27,Product Sales,2640.37
549,5,2023-06-10,Commission,3992.23
550,2,2023-09-22,Other,4817.23
551,4,2024-10-09,Consulting,3738.11
552,2,2024-08-12,Consulting,2452.07
553,5,2024-05-10,Consulting,490.62
554,5,2024-11-25,Subscription,1472.5
555,1,2024-05-13,Subscription,2794.44
556,1,2024-08-25,Consulting,878.18
557,2,2023-11-21,Consulting,1536.83
558,4,2024-07-27,Commission,643.18
559,2,2023-03-30,Product Sales,3944.13
560,4,2023-01-25,Consulting,180.07
561,1,2024-06-13,Subscription,2483.74
562,3,2023-01-26,Other,941.41
563,2,2023-12-21,Consulting,974.66
564,3,2024-06-29,Other,1732.07
565,4,2023-08-21,Commission,3956.62
566,5,2024-07-05,Product Sales,2228.51
567,2,2024-10-30,Product Sales,2480.98
568,5,2024-01-28,Subscription,3330.95
569,4,2023-10-02,Commission,3018.63
570,1,2023-03-18,Subscription,1005.71
571,2,2023-06-14,Product Sales,4149.5
572,5,2024-11-12,Product Sales,364.77
573,2,2023-12-21,Product Sales,4450.01
574,4,2024-05-05,Consulting,4618.32
575,4,2023-10-09,Product Sales,4698.46
576,3,2024-06-01,Consulting,301.5
577,4,2023-10-17,Consulting,2738.8
578,4,2024-02-29,Consulting,451.96
579,2,2023-03-08,Consulting,4649.03
580,2,2023-04-05,Other,114.09
581,2,2024-06-04,Commission,2934.72
582,4,2023-05-24,Other,2098.79
583,3,2023-07-21,Other,1782.25
584,2,2023-08-14,Consulting,1137.71
585,1,2024-09-27,Consulting,1186.63
586,5,2023-08-11,Subscription,4422.18
587,4,2024-08-08,Consulting,2814.87
588,2,2024-09-18,Consulting,2801.05
589,4,2023-09-22,Subscription,1798.88
590,3,2023-06-14,Other,4454.87
591,2,2024-12-05,Product Sales,2969.08
592,3,2024-02-20,Commission,3708.58
593,2,2024-08-29,Commission,3270.35
594,3,2023-12-21,Consulting,4123.37
595,4,2024-01-23,Other,772.17
596,4,2024-10-16,Product Sales,4710.81
597,5,2023-07-14,Consulting,2020.58
598,1,2024-06-25,Other,3809.75
599,5,2023-07-12,Subscription,340.54
600,5,2024-10-03,Commission,2314.29
601,3,2023-01-02,Subscription,1872.33
602,4,2023-10-30,Other,3641.21
603,2,2024-12-13,Product Sales,561.77
604,2,2023-11-07,Product Sales,2738.64
605,5,2024-01-13,Commission,666.94
606,3,2024-02-02,Other,1533.46
607,2,2024-08-05,Other,1351.72
608,2,2023-09-04,Commission,3970.84
609,3,2024-08-21,Product Sales,2583.59
610,5,2024-05-30,Consulting,4516.69
611,3,2023-03-07,Subscription,706.39
612,1,2023-03-12,Consulting,4208.84
613,3,2024-10-20,Other,4407.25
614,1,2024-08-06,Product Sales,2054.37
615,5,2023-02-08,Other,1307.57
616,2,2023-08-13,Product Sales,2270.47
617,4,2024-02-16,Other,4304.84
618,4,2023-05-19,Commission,1964.82
619,5,2024-06-11,Subscription,4095.38
620,2,2023-11-08,Product Sales,393.94
621,3,2024-12-30,Product Sales,4271.14
622,1,2024-09-16,Other,2016.37
623,5,2024-11-08,Commission,1462.45
624,5,2023-07-06,Consulting,3156.41
625,3,2024-10-29,Subscription,2976.94
626,3,2024-10-03,Subscription,730.23
627,2,2023-10-30,Subscription,920.91
628,2,2024-11-02,Product Sales,4071.51
629,3,2023-09-06,Consulting,3211.57
630,1,2023-03-24,Subscription,1421.68
631,3,2023-01-26,Subscription,2921.09
632,4,2024-06-13,Other,2737.78
633,1,2023-08-09,Commission,1762.57
634,5,2023-01-28,Subscription,3326.84
635,5,2023-12-29,Commission,212.83
636,4,2023-03-26,Other,1888.65
637,5,2023-12-27,Product Sales,3680.13
638,4,2024-10-24,Commission,214.63
639,5,2024-10-07,Other,3639.82
640,1,2023-08-16,Consulting,4744.95
641,4,2023-10-12,Commission,4716.46
642,2,2023-06-30,Subscription,1484.65
643,4,2024-09-24,Other,1124.11
644,4,2023-09-10,Commission,2975.9
645,3,2023-12-27,Product Sales,2806.76
646,4,2024-08-16,Commission,289.85
647,1,2024-05-31,Product Sales,845.9
648,2,2024-09-24,Commission,3779.7
649,4,2023-08-02,Product Sales,4200.84
650,3,2024-02-27,Commission,4513.73
651,1,2023-04-02,Consulting,1409.17
652,5,2024-12-25,Other,4562.78
653,1,2023-06-12,Consulting,4820.31
654,2,2024-12-26,Commission,732.43
655,2,2024-06-05,Product Sales,3851.89
656,1,2023-12-29,Product Sales,167.18
657,1,2023-06-29,Subscription,607.05
658,5,2023-06-16,Consulting,1472.82
659,4,2023-11-08,Subscription,3521.59
660,2,2024-03-16,Subscription,2336.48
661,1,2023-03-06,Subscription,1298.91
662,2,2023-12-05,Product Sales,150.42
663,3,2024-09-28,Subscription,4530.92
664,3,2023-08-28,Commission,140.2
665,1,2023-09-13,Consulting,3498.23
666,3,2024-01-19,Commission,2211.54
667,3,2023-09-15,Subscription,1154.01
668,3,2024-05-04,Product Sales,2815.98
669,4,2023-12-10,Subscription,2722.41
670,3,2024-07-12,Subscription,3445.81
671,2,2023-12-06,Commission,3264.89
672,3,2023-10-09,Product Sales,4744.99
673,4,2024-01-13,Other,4982.88
674,5,2024-05-29,Commission,3451.3
675,2,2024-04-05,Other,4654.93
676,1,2023-09-10,Commission,4791.42
677,5,2024-06-05,Subscription,4763.3
678,1,2023-05-22,Commission,255.14
679,3,2023-10-22,Product Sales,4912.83
680,3,2023-01-27,Product Sales,1980.06
681,5,2023-12-23,Subscription,1308.85
